Lexema: program	Tipo: TKN_PROGRAM	Linea: 1	Columna: 0
Lexema: {	Tipo: TKN_LBRACE	Linea: 1	Columna: 7
Lexema: int	Tipo: TKN_TIPO	Linea: 2	Columna: 1
Lexema: a	Tipo: TKN_ID	Linea: 2	Columna: 5
Lexema: ,	Tipo: TKN_COMMA	Linea: 2	Columna: 6
Lexema: b	Tipo: TKN_ID	Linea: 2	Columna: 8
Lexema: ;	Tipo: TKN_SEMICOLON	Linea: 2	Columna: 9
Lexema: float	Tipo: TKN_TIPO	Linea: 3	Columna: 1
Lexema: x	Tipo: TKN_ID	Linea: 3	Columna: 7
Lexema: ,	Tipo: TKN_COMMA	Linea: 3	Columna: 8
Lexema: y	Tipo: TKN_ID	Linea: 3	Columna: 10
Lexema: ;	Tipo: TKN_SEMICOLON	Linea: 3	Columna: 11
Lexema: bool	Tipo: TKN_TIPO	Linea: 4	Columna: 1
Lexema: z	Tipo: TKN_ID	Linea: 4	Columna: 6
Lexema: ,	Tipo: TKN_COMMA	Linea: 4	Columna: 7
Lexema: w	Tipo: TKN_ID	Linea: 4	Columna: 9
Lexema: ;	Tipo: TKN_SEMICOLON	Linea: 4	Columna: 10
Lexema: do	Tipo: TKN_DO	Linea: 5	Columna: 1
Lexema: {	Tipo: TKN_LBRACE	Linea: 5	Columna: 3
Lexema: if	Tipo: TKN_IF	Linea: 6	Columna: 2
Lexema: (	Tipo: TKN_LPAREN	Linea: 6	Columna: 4
Lexema: a	Tipo: TKN_ID	Linea: 6	Columna: 5
Lexema: ==	Tipo: TKN_EQUAL	Linea: 6	Columna: 7
Lexema: 0	Tipo: TKN_NUM	Linea: 6	Columna: 10
Lexema: )	Tipo: TKN_RPAREN	Linea: 6	Columna: 11
Lexema: {	Tipo: TKN_LBRACE	Linea: 6	Columna: 12
Lexema: int	Tipo: TKN_TIPO	Linea: 7	Columna: 3
Lexema: m	Tipo: TKN_ID	Linea: 7	Columna: 7
Lexema: ,	Tipo: TKN_COMMA	Linea: 7	Columna: 8
Lexema: n	Tipo: TKN_ID	Linea: 7	Columna: 10
Lexema: ;	Tipo: TKN_SEMICOLON	Linea: 7	Columna: 11
Lexema: read	Tipo: TKN_READ	Linea: 8	Columna: 3
Lexema: x	Tipo: TKN_ID	Linea: 8	Columna: 8
Lexema: ;	Tipo: TKN_SEMICOLON	Linea: 8	Columna: 9
Lexema: read	Tipo: TKN_READ	Linea: 9	Columna: 3
Lexema: y	Tipo: TKN_ID	Linea: 9	Columna: 8
Lexema: ;	Tipo: TKN_SEMICOLON	Linea: 9	Columna: 9
Lexema: m	Tipo: TKN_ID	Linea: 10	Columna: 3
Lexema: =	Tipo: TKN_ASSIGN	Linea: 10	Columna: 5
Lexema: 8	Tipo: TKN_NUM	Linea: 10	Columna: 7
Lexema: +	Tipo: TKN_ADD	Linea: 10	Columna: 9
Lexema: 1	Tipo: TKN_NUM	Linea: 10	Columna: 11
Lexema: ;	Tipo: TKN_SEMICOLON	Linea: 10	Columna: 12
Lexema: write	Tipo: TKN_WRITE	Linea: 11	Columna: 3
Lexema: x	Tipo: TKN_ID	Linea: 11	Columna: 9
Lexema: +	Tipo: TKN_ADD	Linea: 11	Columna: 11
Lexema: y	Tipo: TKN_ID	Linea: 11	Columna: 13
Lexema: ;	Tipo: TKN_SEMICOLON	Linea: 11	Columna: 14
Lexema: }	Tipo: TKN_RBRACE	Linea: 12	Columna: 2
Lexema: else	Tipo: TKN_ELSE	Linea: 12	Columna: 3
Lexema: {	Tipo: TKN_LBRACE	Linea: 12	Columna: 7
Lexema: int	Tipo: TKN_TIPO	Linea: 13	Columna: 3
Lexema: m	Tipo: TKN_ID	Linea: 13	Columna: 7
Lexema: ,	Tipo: TKN_COMMA	Linea: 13	Columna: 8
Lexema: n	Tipo: TKN_ID	Linea: 13	Columna: 10
Lexema: ;	Tipo: TKN_SEMICOLON	Linea: 13	Columna: 11
Lexema: read	Tipo: TKN_READ	Linea: 14	Columna: 3
Lexema: x	Tipo: TKN_ID	Linea: 14	Columna: 8
Lexema: ;	Tipo: TKN_SEMICOLON	Linea: 14	Columna: 9
Lexema: write	Tipo: TKN_WRITE	Linea: 15	Columna: 3
Lexema: x	Tipo: TKN_ID	Linea: 15	Columna: 9
Lexema: ;	Tipo: TKN_SEMICOLON	Linea: 15	Columna: 10
Lexema: write	Tipo: TKN_WRITE	Linea: 17	Columna: 3
Lexema: x	Tipo: TKN_ID	Linea: 17	Columna: 9
Lexema: -	Tipo: TKN_MINUS	Linea: 17	Columna: 11
Lexema: 1.58785	Tipo: TKN_NUM	Linea: 17	Columna: 13
Lexema: *	Tipo: TKN_MULTI	Linea: 17	Columna: 21
Lexema: (	Tipo: TKN_LPAREN	Linea: 17	Columna: 23
Lexema: 20	Tipo: TKN_NUM	Linea: 17	Columna: 24
Lexema: /	Tipo: TKN_MULTI	Linea: 17	Columna: 26
Lexema: x	Tipo: TKN_ID	Linea: 17	Columna: 27
Lexema: )	Tipo: TKN_RPAREN	Linea: 17	Columna: 28
Lexema: ;	Tipo: TKN_SEMICOLON	Linea: 17	Columna: 29
Lexema: }	Tipo: TKN_RBRACE	Linea: 18	Columna: 2
Lexema: fi	Tipo: TKN_FI	Linea: 18	Columna: 3
Lexema: x	Tipo: TKN_ID	Linea: 19	Columna: 2
Lexema: =	Tipo: TKN_ASSIGN	Linea: 19	Columna: 4
Lexema: 27.33	Tipo: TKN_NUM	Linea: 19	Columna: 6
Lexema: +	Tipo: TKN_ADD	Linea: 19	Columna: 12
Lexema: b	Tipo: TKN_ID	Linea: 19	Columna: 14
Lexema: ;	Tipo: TKN_SEMICOLON	Linea: 19	Columna: 15
Lexema: }	Tipo: TKN_RBRACE	Linea: 20	Columna: 1
Lexema: until	Tipo: TKN_UNTIL	Linea: 20	Columna: 2
Lexema: (	Tipo: TKN_LPAREN	Linea: 20	Columna: 7
Lexema: a	Tipo: TKN_ID	Linea: 20	Columna: 8
Lexema: <	Tipo: TKN_LESS	Linea: 20	Columna: 10
Lexema: b	Tipo: TKN_ID	Linea: 20	Columna: 12
Lexema: )	Tipo: TKN_RPAREN	Linea: 20	Columna: 13
Lexema: ;	Tipo: TKN_SEMICOLON	Linea: 20	Columna: 14
Lexema: while	Tipo: TKN_WHILE	Linea: 22	Columna: 1
Lexema: (	Tipo: TKN_LPAREN	Linea: 22	Columna: 6
Lexema: z	Tipo: TKN_ID	Linea: 22	Columna: 7
Lexema: and	Tipo: TKN_AND	Linea: 22	Columna: 9
Lexema: w	Tipo: TKN_ID	Linea: 22	Columna: 13
Lexema: )	Tipo: TKN_RPAREN	Linea: 22	Columna: 14
Lexema: {	Tipo: TKN_LBRACE	Linea: 22	Columna: 15
Lexema: int	Tipo: TKN_TIPO	Linea: 23	Columna: 2
Lexema: m	Tipo: TKN_ID	Linea: 23	Columna: 6
Lexema: ,	Tipo: TKN_COMMA	Linea: 23	Columna: 7
Lexema: n	Tipo: TKN_ID	Linea: 23	Columna: 9
Lexema: ;	Tipo: TKN_SEMICOLON	Linea: 23	Columna: 10
Lexema: read	Tipo: TKN_READ	Linea: 24	Columna: 2
Lexema: x	Tipo: TKN_ID	Linea: 24	Columna: 7
Lexema: ;	Tipo: TKN_SEMICOLON	Linea: 24	Columna: 8
Lexema: write	Tipo: TKN_WRITE	Linea: 25	Columna: 2
Lexema: x	Tipo: TKN_ID	Linea: 25	Columna: 8
Lexema: ;	Tipo: TKN_SEMICOLON	Linea: 25	Columna: 9
Lexema: write	Tipo: TKN_WRITE	Linea: 26	Columna: 2
Lexema: x	Tipo: TKN_ID	Linea: 26	Columna: 8
Lexema: -	Tipo: TKN_MINUS	Linea: 26	Columna: 10
Lexema: 1.58785	Tipo: TKN_NUM	Linea: 26	Columna: 12
Lexema: *	Tipo: TKN_MULTI	Linea: 26	Columna: 20
Lexema: (	Tipo: TKN_LPAREN	Linea: 26	Columna: 22
Lexema: 20	Tipo: TKN_NUM	Linea: 26	Columna: 23
Lexema: /	Tipo: TKN_MULTI	Linea: 26	Columna: 25
Lexema: x	Tipo: TKN_ID	Linea: 26	Columna: 26
Lexema: )	Tipo: TKN_RPAREN	Linea: 26	Columna: 27
Lexema: ;	Tipo: TKN_SEMICOLON	Linea: 26	Columna: 28
Lexema: }	Tipo: TKN_RBRACE	Linea: 27	Columna: 1
Lexema: z	Tipo: TKN_ID	Linea: 30	Columna: 1
Lexema: =	Tipo: TKN_ASSIGN	Linea: 30	Columna: 3
Lexema: 1	Tipo: TKN_NUM	Linea: 30	Columna: 5
Lexema: ;	Tipo: TKN_SEMICOLON	Linea: 30	Columna: 6
Lexema: z	Tipo: TKN_ID	Linea: 32	Columna: 1
Lexema: =	Tipo: TKN_ASSIGN	Linea: 32	Columna: 3
Lexema: z	Tipo: TKN_ID	Linea: 32	Columna: 5
Lexema: and	Tipo: TKN_AND	Linea: 32	Columna: 7
Lexema: w	Tipo: TKN_ID	Linea: 32	Columna: 11
Lexema: and	Tipo: TKN_AND	Linea: 32	Columna: 13
Lexema: a	Tipo: TKN_ID	Linea: 32	Columna: 17
Lexema: <	Tipo: TKN_LESS	Linea: 32	Columna: 19
Lexema: x	Tipo: TKN_ID	Linea: 32	Columna: 21
Lexema: /	Tipo: TKN_MULTI	Linea: 32	Columna: 22
Lexema: y	Tipo: TKN_ID	Linea: 32	Columna: 23
Lexema: ;	Tipo: TKN_SEMICOLON	Linea: 32	Columna: 24
Lexema: }	Tipo: TKN_RBRACE	Linea: 33	Columna: 0
