Lexema: program	Tipo: TKN_PROGRAM	Linea: 1	Columna: 0
Lexema: {	Tipo: TKN_LBRACE	Linea: 1	Columna: 8
Lexema: int	Tipo: TKN_TIPO	Linea: 3	Columna: 5
Lexema: x	Tipo: TKN_ID	Linea: 3	Columna: 9
Lexema: ,	Tipo: TKN_COMMA	Linea: 3	Columna: 10
Lexema: y	Tipo: TKN_ID	Linea: 3	Columna: 12
Lexema: ;	Tipo: TKN_SEMICOLON	Linea: 3	Columna: 13
Lexema: float	Tipo: TKN_TIPO	Linea: 5	Columna: 5
Lexema: a	Tipo: TKN_ID	Linea: 5	Columna: 11
Lexema: ,	Tipo: TKN_COMMA	Linea: 5	Columna: 12
Lexema: b	Tipo: TKN_ID	Linea: 5	Columna: 14
Lexema: ;	Tipo: TKN_SEMICOLON	Linea: 5	Columna: 15
Lexema: x	Tipo: TKN_ID	Linea: 7	Columna: 5
Lexema: =	Tipo: TKN_ASSIGN	Linea: 7	Columna: 6
Lexema: 5	Tipo: TKN_NUM	Linea: 7	Columna: 7
Lexema: ;	Tipo: TKN_SEMICOLON	Linea: 7	Columna: 8
Lexema: y	Tipo: TKN_ID	Linea: 9	Columna: 5
Lexema: =	Tipo: TKN_ASSIGN	Linea: 9	Columna: 6
Lexema: 4	Tipo: TKN_NUM	Linea: 9	Columna: 7
Lexema: ;	Tipo: TKN_SEMICOLON	Linea: 9	Columna: 8
Lexema: a	Tipo: TKN_ID	Linea: 11	Columna: 5
Lexema: =	Tipo: TKN_ASSIGN	Linea: 11	Columna: 6
Lexema: 0.0	Tipo: TKN_NUM	Linea: 11	Columna: 7
Lexema: ;	Tipo: TKN_SEMICOLON	Linea: 11	Columna: 10
Lexema: b	Tipo: TKN_ID	Linea: 13	Columna: 5
Lexema: =	Tipo: TKN_ASSIGN	Linea: 13	Columna: 6
Lexema: 3.0	Tipo: TKN_NUM	Linea: 13	Columna: 7
Lexema: ;	Tipo: TKN_SEMICOLON	Linea: 13	Columna: 10
Lexema: do	Tipo: TKN_DO	Linea: 15	Columna: 5
Lexema: {	Tipo: TKN_LBRACE	Linea: 15	Columna: 8
Lexema: if	Tipo: TKN_IF	Linea: 17	Columna: 10
Lexema: (	Tipo: TKN_LPAREN	Linea: 17	Columna: 12
Lexema: x	Tipo: TKN_ID	Linea: 17	Columna: 13
Lexema: <	Tipo: TKN_LESS	Linea: 17	Columna: 14
Lexema: y	Tipo: TKN_ID	Linea: 17	Columna: 15
Lexema: )	Tipo: TKN_RPAREN	Linea: 17	Columna: 16
Lexema: then	Tipo: TKN_ID	Linea: 17	Columna: 18
Lexema: {	Tipo: TKN_LBRACE	Linea: 17	Columna: 22
Lexema: y	Tipo: TKN_ID	Linea: 19	Columna: 15
Lexema: =	Tipo: TKN_ASSIGN	Linea: 19	Columna: 16
Lexema: y	Tipo: TKN_ID	Linea: 19	Columna: 17
Lexema: -	Tipo: TKN_MINUS	Linea: 19	Columna: 18
Lexema: 1	Tipo: TKN_NUM	Linea: 19	Columna: 19
Lexema: ;	Tipo: TKN_SEMICOLON	Linea: 19	Columna: 20
Lexema: }	Tipo: TKN_RBRACE	Linea: 21	Columna: 10
Lexema: else	Tipo: TKN_ELSE	Linea: 21	Columna: 12
